NOx	Pb	O3	CO	longitude	CH4	TEMP	PAHs	warning	SO2	NH3	CFCs	C2H3NO5	PM2.5	PRES	PM10	H2CO	latitude
5.54233	51.88743	6.37818	9.27552	18.84	7.81641	13.88282	9.88751	1.00000	5.37167	4.48628	77.09681	6.02798	3.20826	1180.54095	8.30235	24.66031	42.28639
6.10987	68.52137	10.57515	6.04198	136.51667	6.59716	5.89535	5.85019	0.00000	5.73915	6.01815	61.86428	8.45657	6.99401	1161.99259	8.62386	44.98384	35
6.76444	52.40091	7.14273	8.52425	-73.9614	8.19085	8.47778	8.54987	1.00000	7.57044	6.22265	77.93331	6.10476	5.94546	1089.09253	7.91828	72.54829	10.15031
4.93669	8.13058	6.49540	8.20694	112.73333	8.42924	9.59028	7.72373	0.00000	8.19339	6.28216	72.93388	3.79129	9.10893	1192.64610	7.48891	68.58675	38.40917
7.62989	70.08606	7.06087	7.58575	79.87116	6.87755	9.59499	6.81887	1.00000	8.50290	10.47733	62.56210	3.25635	6.18035	1089.66586	6.04274	45.23976	6.84019
7.27523	61.19611	10.51179	5.04770	-113.3187	6.34867	21.92168	6.03253	0.00000	7.80954	5.96152	72.05157	3.48921	6.14429	1081.29597	7.43693	62.98059	53.51684
5.31371	43.79104	7.07063	8.00790	13.57661	7.49508	13.86256	7.73528	1.00000	7.72845	5.37603	73.15760	4.18258	4.08489	1083.58501	7.95632	45.48632	37.31065
5.45987	65.03563	8.27042	6.30995	-119.0376	8.77799	3.41928	3.93953	0.00000	9.04605	9.65168	53.39575	15.11437	7.73759	1116.62134	9.25025		34.21639
6.71652	72.53827	11.53836	7.27270	65.27258	9.28494	22.68161	5.17361	1.00000	7.68082	6.95722	75.88552	13.73641	4.88987	1118.82521	9.19659	61.67441	58.04254
7.87654	23.60714	6.92699	8.71956	17.8031	7.51052	19.14886	9.48755	1.00000	7.42719	6.04959	75.75068	3.58987	7.43820	1107.10127	7.64161	80.73967	48.43174
8.00793	54.87321	10.70083	6.18362	139.55722	9.06500	37.36008	5.79500	1.00000	7.78210	8.65513		2.74161	7.42690	1138.14095	6.32048	65.86765	36
7.46902	61.61736	4.58050	9.68183	-102.36764	8.12205	7.95061	8.77342	1.00000	9.00979	7.29565	74.25719	10.47978	8.53689	1133.24906	8.92971	62.69840	31.84568
7.25177	61.42768	11.03072	7.05470	102.42587	7.38176	3.25434	4.67277	0.00000	9.71052	9.09578	74.05721	3.66508	5.00219	1146.89842	7.53510	68.77184	15.58552
